iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
85100,,,,7.5309
85200,,,,7.5309
85300,,,,7.5309
85400,,,,7.5309
85500,,,,7.5309
85600,,,,7.5309
85700,,,,7.5309
85800,,,,7.5309
85900,,,,7.5309
86000,,,,7.5309
86100,,,,7.5309
86200,,,,7.5309
86300,,,,7.5309
86400,,,,7.5309
86500,,,,7.5309
86600,,,,7.5309
86700,,,,7.5309
86800,,,,7.5309
86900,,,,7.5309
87000,,,,7.5309
87100,,,,7.5309
87200,,,,7.5309
87300,,,,7.5309
87400,,,,7.5309
87500,,,,7.5309
87600,,,,7.5309
87700,,,,7.5309
87800,,,,7.5309
87900,,,,7.5309
88000,,,,7.5309
88100,,,,7.5309
88200,,,,7.5309
88300,,,,7.5309
88400,,,,7.5309
88500,,,,7.5309
88600,,,,7.5309
88700,,,,7.5309
88800,,,,7.5309
88900,,,,7.5309
89000,,,,7.5309
89100,,,,7.5309
89200,,,,7.5309
89300,,,,7.5309
89400,,,,7.5309
89500,,,,7.5309
89600,,,,7.5309
89700,,,,7.5309
89800,,,,7.5309
89900,,,,7.5309
90000,,,,7.5309
90100,,,,7.5309
90200,,,,7.5309
90300,,,,7.5309
90400,,,,7.5309
90500,,,,7.5309
90600,,,,7.5309
90700,,,,7.5309
90800,,,,7.5309
90900,,,,7.5309
91000,,,,7.5309
91100,,,,7.5309
91200,,,,7.5309
91300,,,,7.5309
91400,,,,7.5309
91500,,,,7.5309
91600,,,,7.5309
91700,,,,7.5309
91800,,,,7.5309
91900,,,,7.5309
92000,,,,7.5309
92100,,,,7.5309
92200,,,,7.5309
92300,,,,7.5309
92400,,,,7.5309
92500,,,,7.5309
92600,,,,7.5309
92700,,,,7.5309
92800,,,,7.5309
92900,,,,7.5309
93000,,,,7.5309
93100,,,,7.5309
93200,,,,7.5309
93300,,,,7.5309
93400,,,,7.5309
93500,,,,7.5309
93600,,,,7.5309
93700,,,,7.5309
93800,,,,7.5309
93900,,,,7.5309
94000,,,,7.5309
94100,,,,7.5309
94200,,,,7.5309
94300,,,,7.5309
94400,,,,7.5309
94500,,,,7.5309
94600,,,,7.5309
94700,,,,7.5309
94800,,,,7.5309
94900,,,,7.5309
95000,,,,7.5309
95100,,,,7.5309
95200,,,,7.5309
95300,,,,7.5309
95400,,,,7.5309
95500,,,,7.5309
95600,,,,7.5309
95700,,,,7.5309
95800,,,,7.5309
95900,,,,7.5309
96000,,,,7.5309
96100,,,,7.5309
96200,,,,7.5309
96300,,,,7.5309
96400,,,,7.5309
96500,,,,7.5309
96600,,,,7.5309
96700,,,,7.5309
96800,,,,7.5309
96900,,,,7.5309
97000,,,,7.5309
97100,,,,7.5309
97200,,,,7.5309
97300,,,,7.5309
97400,,,,7.5309
97500,,,,7.5309
97600,,,,7.5309
97700,,,,7.5309
97800,,,,7.5309
97900,,,,7.5309
98000,,,,7.5309
98100,,,,7.5309
98200,,,,7.5309
98300,,,,7.5309
98400,,,,7.5309
98500,,,,7.5309
98600,,,,7.5309
98700,,,,7.5309
98800,,,,7.5309
98900,,,,7.5309
99000,,,,7.5309
99100,,,,7.5309
99200,,,,7.5309
99300,,,,7.5309
99400,,,,7.5309
99500,,,,7.5309
99600,,,,7.5309
99700,,,,7.5309
99800,,,,7.5309
99900,,,,7.5309
100000,,,,7.5309
100100,,,,7.5309
100200,,,,7.5309
100300,,,,7.5309
100400,,,,7.5309
100500,,,,7.5309
100600,,,,7.5309
100700,,,,7.5309
100800,,,,7.5309
100900,,,,7.5309
101000,,,,7.5309
101100,,,,7.5309
101200,,,,7.5309
101300,,,,7.5309
101400,,,,7.5309
101500,,,,7.5309
101600,,,,7.5309
101700,,,,7.5309
101800,,,,7.5309
101900,,,,7.5309
102000,,,,7.5309
102100,,,,7.5309
102200,,,,7.5309
102300,,,,7.5309
102400,,,,7.5309
102500,,,,7.5309
102600,,,,7.5309
102700,,,,7.5309
102800,,,,7.5309
102900,,,,7.5309
103000,,,,7.5309
103100,,,,7.5309
103200,,,,7.5309
103300,,,,7.5309
103400,,,,7.5309
103500,,,,7.5309
103600,,,,7.5309
103700,,,,7.5309
103800,,,,7.5309
103900,,,,7.5309
104000,,,,7.5309
104100,,,,7.5309
104200,,,,7.5309
104300,,,,7.5309
104400,,,,7.5309
104500,,,,7.5309
104600,,,,7.5309
104700,,,,7.5309
104800,,,,7.5309
104900,,,,7.5309
105000,,,,7.5309
105100,,,,7.5309
105200,,,,7.5309
105300,,,,7.5309
105400,,,,7.5309
105500,,,,7.5309
105600,,,,7.5309
105700,,,,7.5309
105800,,,,7.5309
105900,,,,7.5309
106000,,,,7.5309
106100,,,,7.5309
106200,,,,7.5309
106300,,,,7.5309
106400,,,,7.5309
106500,,,,7.5309
106600,,,,7.5309
106700,,,,7.5309
106800,,,,7.5309
106900,,,,7.5309
107000,,,,7.5309
107100,,,,7.5309
107200,,,,7.5309
107300,,,,7.5309
107400,,,,7.5309
107500,,,,7.5309
107600,,,,7.5309
107700,,,,7.5309
107800,,,,7.5309
107900,,,,7.5309
108000,,,,7.5309
108100,,,,7.5309
108200,,,,7.5309
108300,,,,7.5309
108400,,,,7.5309
108500,,,,7.5309
108600,,,,7.5309
108700,,,,7.5309
108800,,,,7.5309
108900,,,,7.5309
109000,,,,7.5309
109100,,,,7.5309
109200,,,,7.5309
109300,,,,7.5309
109400,,,,7.5309
109500,,,,7.5309
109600,,,,7.5309
109700,,,,7.5309
109800,,,,7.5309
109900,,,,7.5309
110000,,,,7.5309
110100,,,,7.5309
110200,,,,7.5309
110300,,,,7.4150
110400,,,,7.4150
110500,,,,7.4150
110600,,,,7.4150
110700,,,,7.4150
110800,,,,7.4150
110900,,,,7.4150
111000,,,,7.4150
111100,,,,7.4150
111200,,,,7.4150
111300,,,,7.4150
111400,,,,7.4150
111500,,,,7.4150
111600,,,,7.4150
111700,,,,7.4150
111800,,,,7.4150
111900,,,,7.4150
112000,,,,7.4150
112100,,,,7.4150
112200,,,,7.4150
112300,,,,7.4150
112400,,,,7.4150
112500,,,,7.4150
112600,,,,7.4150
112700,,,,7.4150
112800,,,,7.4150
112900,,,,7.4150
113000,,,,7.4150
113100,,,,7.4150
113200,,,,7.4150
113300,,,,7.4150
113400,,,,7.4150
113500,,,,7.4150
113600,,,,7.4150
113700,,,,7.4150
113800,,,,7.4150
113900,,,,7.4150
114000,,,,7.4150
114100,,,,7.4150
114200,,,,7.4150
114300,,,,7.4150
114400,,,,7.4150
114500,,,,7.4150
114600,,,,7.4150
114700,,,,7.4150
114800,,,,7.4150
114900,,,,7.4150
115000,,,,7.1484
115100,,,,7.1256
115200,,,,7.1256
115300,,,,7.1256
115400,,,,7.1256
115500,,,,7.0037
115600,,,,7.0037
115700,,,,7.0037
115800,,,,7.0037
115900,,,,6.9255
116000,,,,6.9255
116100,,,,6.9255
116200,,,,6.9255
116300,,,,6.7981
116400,,,,6.7981
116500,,,,6.7981
116600,,,,6.7981
116700,,,,6.7981
116800,,,,6.7981
116900,,,,6.7981
117000,,,,6.7981
117100,,,,6.7981
117200,,,,6.7981
117300,,,,6.7981
117400,,,,6.7981
117500,,,,6.7981
117600,,,,6.7981
117700,,,,6.7981
117800,,,,6.7981
117900,,,,6.7981
118000,,,,6.7981
118100,,,,6.7981
118200,,,,6.7981
118300,,,,6.7981
118400,,,,6.7981
118500,,,,6.7981
118600,,,,6.7981
118700,,,,6.7981
118800,,,,6.7981
118900,,,,6.7981
119000,,,,6.7981
119100,,,,6.7981
119200,,,,6.7981
119300,,,,6.7981
119400,,,,6.7981
119500,,,,6.7981
119600,,,,6.7981
119700,,,,6.7981
119800,,,,6.7981
119900,,,,6.7981
120000,,,,6.7981
120100,,,,6.7981
120200,,,,6.7981
120300,,,,6.7981
120400,,,,6.7981
120500,,,,6.7981
120600,,,,6.7981
120700,,,,6.7981
120800,,,,6.7981
120900,,,,6.7981
121000,,,,6.7981
121100,,,,6.7981
121200,,,,6.7981
121300,,,,6.7981
121400,,,,6.7981
121500,,,,6.7981
121600,,,,6.7981
121700,,,,6.7981
121800,,,,6.7981
121900,,,,6.7981
122000,,,,6.7981
122100,,,,6.7981
122200,,,,6.7981
122300,,,,6.7981
122400,,,,6.7612
122500,,,,6.7612
122600,,,,6.7612
122700,,,,6.6927
122800,,,,6.5924
122900,,,,6.5924
123000,,,,6.5924
123100,,,,6.5786
123200,,,,6.5786
123300,,,,6.5786
123400,,,,6.5268
123500,,,,6.5268
123600,,,,6.5268
123700,,,,6.5268
123800,,,,6.5268
123900,,,,6.5268
124000,,,,6.5268
124100,,,,6.5268
124200,,,,6.5268
124300,,,,6.5268
124400,,,,6.5268
124500,,,,6.5268
124600,,,,6.5268
124700,,,,6.5268
124800,,,,6.5268
124900,,,,6.5268
125000,,,,6.5268
125100,,,,6.4906
125200,,,,6.4906
125300,,,,6.4880
125400,,,,6.4880
125500,,,,6.4880
125600,,,,6.4880
125700,,,,6.4436
125800,,,,6.4436
125900,,,,6.4355
126000,,,,6.4355
126100,,,,6.4355
126200,,,,6.4355
126300,,,,6.4355
126400,,,,6.4355
126500,,,,6.4355
126600,,,,6.4355
126700,,,,6.4355
126800,,,,6.4355
126900,,,,6.4355
127000,,,,6.4355
127100,,,,6.4355
127200,,,,6.4355
127300,,,,6.4355
127400,,,,6.4355
127500,,,,6.4355
127600,,,,6.4355
127700,,,,6.4355
127800,,,,6.4355
127900,,,,6.4355
128000,,,,6.4355
128100,,,,6.4355
128200,,,,6.4355
128300,,,,6.4355
128400,,,,6.4355
128500,,,,6.4355
128600,,,,6.4355
128700,,,,6.4355
128800,,,,6.4291
128900,,,,6.4291
129000,,,,6.4291
129100,,,,6.4291
129200,,,,6.4291
129300,,,,6.4291
129400,,,,6.4291
129500,,,,6.3992
129600,,,,6.3992
129700,,,,6.3992
129800,,,,6.3992
129900,,,,6.3992
130000,,,,6.3992
130100,,,,6.3992
130200,,,,6.3992
130300,,,,6.3992
130400,,,,6.3992
130500,,,,6.3992
130600,,,,6.3992
130700,,,,6.3992
130800,,,,6.3992
130900,,,,6.3992
131000,,,,6.3992
131100,,,,6.3992
131200,,,,6.3992
131300,,,,6.3992
131400,,,,6.3992
131500,,,,6.3992
131600,,,,6.3992
131700,,,,6.3992
131800,,,,6.3992
131900,,,,6.3992
132000,,,,6.3992
132100,,,,6.3992
132200,,,,6.3992
132300,,,,6.3992
132400,,,,6.3727
132500,,,,6.3270
132600,,,,6.3270
132700,,,,6.3270
132800,,,,6.3270
132900,,,,6.3270
133000,,,,6.3270
133100,,,,6.3270
133200,,,,6.3270
133300,,,,6.3270
133400,,,,6.3270
133500,,,,6.2565
133600,,,,6.2565
133700,,,,6.2565
133800,,,,6.2565
133900,,,,6.2565
134000,,,,6.2565
134100,,,,6.2565
134200,,,,6.2565
134300,,,,6.2565
134400,,,,6.2565
134500,,,,6.2565
134600,,,,6.2565
134700,,,,6.2565
134800,,,,6.2565
134900,,,,6.2264
135000,,,,6.2264
135100,,,,6.2264
135200,,,,6.2264
135300,,,,6.2264
135400,,,,6.2264
135500,,,,6.2264
135600,,,,6.2264
135700,,,,6.2264
135800,,,,6.2264
135900,,,,6.2264
136000,,,,6.2264
136100,,,,6.2264
136200,,,,6.2264
136300,,,,6.2264
136400,,,,6.2264
136500,,,,6.2264
136600,,,,6.2264
136700,,,,6.2264
136800,,,,6.2264
136900,,,,6.2264
137000,,,,6.2264
137100,,,,6.2264
137200,,,,6.2264
137300,,,,6.2264
137400,,,,6.2264
137500,,,,6.2264
137600,,,,6.2264
137700,,,,6.2264
137800,,,,6.2264
137900,,,,6.2264
138000,,,,6.2264
138100,,,,6.2264
138200,,,,6.2264
138300,,,,6.2264
138400,,,,6.2264
138500,,,,6.2264
138600,,,,6.2264
138700,,,,6.2264
138800,,,,6.2264
138900,,,,6.2264
139000,,,,6.2264
139100,,,,6.2264
139200,,,,6.2264
139300,,,,6.2264
139400,,,,6.2264
139500,,,,6.2264
139600,,,,6.2264
139700,,,,6.2264
139800,,,,6.2264
139900,,,,6.2264
140000,,,,6.2264
140100,,,,6.2264
140200,,,,6.2264
140300,,,,6.2264
140400,,,,6.2264
140500,,,,6.2264
140600,,,,6.2264
140700,,,,6.2264
140800,,,,6.2264
140900,,,,6.2264
141000,,,,6.2264
141100,,,,6.2264
141200,,,,6.2264
141300,,,,6.2264
141400,,,,6.2264
141500,,,,6.2264
141600,,,,6.2264
141700,,,,6.2264
141800,,,,6.2264
141900,,,,6.2264
142000,,,,6.2264
142100,,,,6.2264
142200,,,,6.2264
142300,,,,6.2264
142400,,,,6.2264
142500,,,,6.2264
142600,,,,6.2264
142700,,,,6.2111
142800,,,,6.2111
142900,,,,6.2111
143000,,,,6.2111
143100,,,,6.2111
143200,,,,6.2111
143300,,,,6.2111
143400,,,,6.2111
143500,,,,6.2105
143600,,,,6.2105
143700,,,,6.2105
143800,,,,6.2105
143900,,,,6.2105
144000,,,,6.2105
144100,,,,6.2105
144200,,,,6.2105
144300,,,,6.2024
144400,,,,6.2024
144500,,,,6.1975
144600,,,,6.1975
144700,,,,6.1975
144800,,,,6.1975
144900,,,,6.1975
145000,,,,6.1975
145100,,,,6.1975
145200,,,,6.1975
145300,,,,6.1975
145400,,,,6.1975
145500,,,,6.1975
145600,,,,6.1975
145700,,,,6.1975
145800,,,,6.1975
145900,,,,6.1975
146000,,,,6.1975
146100,,,,6.1975
146200,,,,6.1975
146300,,,,6.1975
146400,,,,6.1975
146500,,,,6.1975
146600,,,,6.1975
146700,,,,6.1975
146800,,,,6.1975
146900,,,,6.1975
147000,,,,6.1975
147100,,,,6.1975
147200,,,,6.1975
147300,,,,6.1975
147400,,,,6.1975
147500,,,,6.1975
147600,,,,6.1975
147700,,,,6.1975
147800,,,,6.1975
147900,,,,6.1975
148000,,,,6.1975
148100,,,,6.1975
148200,,,,6.1975
148300,,,,6.1975
148400,,,,6.1975
148500,,,,6.1975
148600,,,,6.1975
