iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
13800,,7.5309,7.5309,7.5309
13900,,7.5309,7.5309,7.5309
14000,,7.5309,7.5309,7.5309
14100,,7.5309,7.5309,7.5309
14200,,7.5309,7.5309,7.5309
14300,,7.5309,7.5309,7.5309
14400,,7.5309,7.5309,7.5309
14500,,7.5309,7.5309,7.5309
14600,,7.5309,7.5309,7.5309
14700,,7.5309,7.5309,7.5309
14800,,7.5309,7.5309,7.5309
14900,,7.5309,7.5309,7.5309
15000,,7.5309,7.5309,7.5309
15100,,7.5309,7.5309,7.5309
15200,,7.5309,7.5309,7.5309
15300,,7.5309,7.5309,7.5309
15400,,7.5309,7.5309,7.5309
15500,,7.5309,7.5309,7.5309
15600,,7.5309,7.5309,7.5309
15700,,7.5309,7.5309,7.5309
15800,,7.5309,7.5309,7.5309
15900,,7.5309,7.5309,7.5309
16000,,7.5309,7.5309,7.5309
16100,,7.5309,7.5309,7.5309
16200,,7.5309,7.5309,7.5309
16300,,7.5309,7.5309,7.5309
16400,,7.5309,7.5309,7.5309
16500,,7.5309,7.5309,7.5309
16600,,7.5309,7.5309,7.5309
16700,,7.5309,7.5309,7.5309
16800,,7.5309,7.5309,7.5309
16900,,7.5309,7.5309,7.5309
17000,,7.5309,7.5309,7.5309
17100,,7.5309,7.5309,7.5309
17200,,7.5309,7.5309,7.5309
17300,,7.5309,7.5309,7.5309
17400,,7.5309,7.5309,7.5309
17500,,7.5309,7.5309,7.5309
17600,,7.5309,7.5309,7.5309
17700,,7.5309,7.5309,7.5309
17800,,7.5309,7.5309,7.5309
17900,,7.5309,7.5309,7.5309
18000,,7.5309,7.5309,7.5309
18100,,7.5309,7.5309,7.5309
18200,,7.5309,7.5309,7.5309
18300,,7.5309,7.5309,7.5309
18400,,7.5309,7.5309,7.5309
18500,,7.5309,7.5309,7.5309
18600,,7.5309,7.5309,7.5309
18700,,7.5309,7.5309,7.5309
18800,,7.5309,7.5309,7.5309
18900,,7.5309,7.5309,7.5309
19000,,7.5309,7.5309,7.5309
19100,,7.5309,7.5309,7.5309
